# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	1.3827093e-09	3.950598e-10	0.9795359	-2.0725771e-17	0.26627246
2.5190745282123138e-12	-9.547279e-10	1.8106906e-10	0.97340184	-2.0700792e-17	0.2462984
5.0465794961768e-12	-2.4691236e-09	-2.0082205e-09	0.9680337	-2.0651912e-17	0.23648071
7.520396791578789e-12	-2.0082205e-09	-5.135777e-09	0.964142	-2.0585038e-17	0.23236139
1.0042774539652383e-11	7.7365875e-10	-8.032882e-09	0.9621765	-2.0502623e-17	0.2299486
1.2514706283196485e-11	4.872404e-09	-1.0337398e-08	0.9624673	-2.041285e-17	0.2298547
1.5035306168379262e-11	1.0205711e-08	-1.0074024e-08	0.96491385	-2.0313809e-17	0.22975579
1.750594748015638e-11	1.5637783e-08	-6.650173e-09	0.9690289	-2.0206603e-17	0.22967884
2.002561711943046e-11	2.0674795e-08	3.950598e-10	0.9741304	-2.0078698e-17	0.23145838
2.254503478728768e-11	2.1530758e-08	1.2115167e-08	0.97818094	-1.9917813e-17	0.23417383
2.5014855318100878e-11	1.5967e-08	2.5283827e-08	0.97646505	-1.973297e-17	0.21902452
2.7533911920205095e-11	1.7448474e-09	3.4370203e-08	0.9609312	-1.9641397e-17	0.20679957
3.000343133341111e-11	-1.2395001e-08	3.3053336e-08	0.9304789	-1.9747945e-17	0.21955198
3.252217144985931e-11	-2.4296178e-08	2.79834e-08	0.8939345	-1.9917834e-17	0.23221846
3.504083185396953e-11	-2.9316729e-08	6.3868e-09	0.8642641	-2.0043382e-17	0.2310993
3.7510094607486377e-11	-2.9662406e-08	-1.2790061e-08	0.84336436	-2.0125073e-17	0.21266222
4.002852740471229e-11	-2.7654185e-08	-2.2398037e-08	0.82821155	-2.0171747e-17	0.20840569
4.2546581392847326e-11	-2.2979311e-08	-2.64402e-08	0.8181716	-2.018971e-17	0.21050547
4.501533310532896e-11	-1.5397044e-08	-2.8073936e-08	0.8124813	-2.0191351e-17	0.21302254
4.753350792338513e-11	-6.370339e-09	-2.6987522e-08	0.8100436	-2.0186393e-17	0.21510056
5.0002326497133287e-11	1.0288015e-09	-2.5069836e-08	0.8101825	-2.0180668e-17	0.21588746
5.252048216416353e-11	6.3868e-09	-2.0357925e-08	0.8122997	-2.0176532e-17	0.21610105
5.5038611521001135e-11	8.065804e-09	-1.5135727e-08	0.8157897	-2.0174747e-17	0.21584155
5.75073753771347e-11	7.999961e-09	-1.073863e-08	0.82004374	-2.017504e-17	0.2176746
6.002550469682266e-11	7.4402924e-09	-7.720127e-09	0.8249143	-2.0176879e-17	0.21821958
6.254366732896836e-11	5.695445e-09	-5.5802194e-09	0.8300721	-2.0179652e-17	0.21939757
6.501244133801221e-11	4.609031e-09	-4.255123e-09	0.83516085	-2.018276e-17	0.2205811
6.753057717309354e-11	2.436202e-09	-4.312736e-09	0.84016967	-2.0185862e-17	0.2209744
7.004872175913543e-11	1.5637783e-09	-4.329197e-09	0.8448681	-2.0188542e-17	0.22257075
7.251748125011363e-11	1.876534e-09	-5.0205515e-09	0.8491306	-2.0190514e-17	0.2223065
7.503560965338982e-11	2.0411421e-09	-5.0040905e-09	0.85313064	-2.0191676e-17	0.22372486
7.7504361308989e-11	1.876534e-09	-5.267464e-09	0.8567331	-2.019186e-17	0.22432666
8.002246845990686e-11	1.679004e-09	-5.432072e-09	0.860113	-2.019102e-17	0.22382852
8.254057908931925e-11	1.8106907e-09	-5.8600533e-09	0.86323595	-2.0189135e-17	0.22509356
8.500931691627464e-11	3.7859897e-09	-6.617251e-09	0.8660947	-2.0186279e-17	0.22551166
8.75274176585631e-11	4.7407176e-09	-7.242763e-09	0.8688533	-2.0182345e-17	0.22518487
9.004551386177878e-11	6.5184866e-09	-6.1234267e-09	0.8714991	-2.0177367e-17	0.2240615
9.251425085299772e-11	7.308606e-09	-5.79421e-09	0.8740229	-2.0171456e-17	0.22223864
9.503235894242491e-11	7.5719795e-09	-4.3456576e-09	0.8765613	-2.0164316e-17	0.22045085
9.750108231458361e-11	7.703666e-09	-3.555538e-09	0.87904716	-2.0156125e-17	0.21991867
1.0001919189944789e-10	8.658394e-09	-3.4238514e-09	0.8816139	-2.0146407e-17	0.21857941
1.025372968883562e-10	9.942338e-09	-2.5678886e-09	0.88424754	-2.01351e-17	0.21685807
1.0500602356396664e-10	1.1687185e-08	-1.316866e-09	0.886931	-2.0122189e-17	0.21680818
1.0752413737871709e-10	1.2543148e-08	9.218062e-10	0.8898133	-2.0106779e-17	0.21572463
1.1004224677116317e-10	1.2905287e-08	2.6995752e-09	0.8928892	-2.0088574e-17	0.21462531
