# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	1.2427922e-09	7.901196e-10	0.9795362	-2.0725773e-17	0.26627314
2.51463668450987e-12	1.3415572e-09	1.2839443e-09	0.9707323	-2.0685896e-17	0.2407626
5.042062401321677e-12	1.3333268e-09	2.1399071e-09	0.962199	-2.0598771e-17	0.23052478
7.517016839643208e-12	9.876495e-11	4.4444226e-09	0.9553543	-2.047244e-17	0.22750488
1.0040378318166593e-11	-2.0411421e-09	5.0040905e-09	0.9509233	-2.0310523e-17	0.22532979
1.2512855478851547e-11	-5.79421e-09	5.267464e-09	0.94927007	-2.0125668e-17	0.22494665
1.5033739885458742e-11	-1.0600771e-08	3.753068e-09	0.9498587	-1.9905446e-17	0.22214127
1.7504499553678956e-11	-1.5407332e-08	-5.2674637e-10	0.9515835	-1.9641468e-17	0.2204124
2.0024175114752998e-11	-2.0115127e-08	-8.823002e-09	0.9520488	-1.9297639e-17	0.21556501
2.2543615595925994e-11	-2.074887e-08	-2.1464915e-08	0.945795	-1.8881695e-17	0.2106053
2.5013475013054108e-11	-1.4399106e-08	-3.397514e-08	0.9248929	-1.8540254e-17	0.21630804
2.7532605019441205e-11	1.7119257e-09	-4.0954532e-08	0.8871462	-1.8485386e-17	0.2515016
3.000220764691854e-11	1.8041064e-08	-3.9374292e-08	0.84956217	-1.8792963e-17	0.24090455
3.2520972604519864e-11	3.272412e-08	-3.0600674e-08	0.81615865	-1.9209564e-17	0.20642738
3.5039754136761896e-11	4.2798142e-08	-1.4131618e-08	0.78611535	-1.9511548e-17	0.19881557
3.750918829892818e-11	4.490513e-08	2.633732e-09	0.7607534	-1.969381e-17	0.2022297
4.002746970864789e-11	3.8699397e-08	1.5835314e-08	0.7399512	-1.9802143e-17	0.20838638
4.2545488971105694e-11	2.7292046e-08	2.4098647e-08	0.72460085	-1.9860774e-17	0.21141577
4.501430654282358e-11	1.6872345e-08	2.5810573e-08	0.71446186	-1.9888987e-17	0.21196866
4.7532503005923105e-11	7.851813e-09	2.278178e-08	0.7086044	-1.9901463e-17	0.21206467
5.000126546220649e-11	1.8436124e-09	1.8699497e-08	0.70674014	-1.9906412e-17	0.21153276
5.2519370625787745e-11	-1.0041102e-09	1.5407332e-08	0.707934	-1.9909445e-17	0.21159577
5.5037523470547627e-11	-3.1934e-09	1.1720107e-08	0.711586	-1.9913523e-17	0.2118587
5.7506334419012456e-11	-3.753068e-09	1.0008181e-08	0.71719	-1.9920079e-17	0.21120377
6.002452589346918e-11	-3.835372e-09	7.901195e-09	0.72461367	-1.9930019e-17	0.21224414
6.254271863040002e-11	-3.2592433e-09	6.4526433e-09	0.7333364	-1.9943334e-17	0.2114896
6.501154120492859e-11	-3.4896948e-09	5.267464e-09	0.7427678	-1.9959374e-17	0.21289621
6.752974557407017e-11	-2.1069855e-09	4.213971e-09	0.75298446	-1.9978258e-17	0.213237
7.004794763173134e-11	-1.2839443e-09	3.555538e-09	0.7635595	-1.9999007e-17	0.21309528
7.251678654072774e-11	-1.1193361e-09	2.5678886e-09	0.77404714	-2.0020398e-17	0.2143534
7.503499887669731e-11	-4.2798143e-10	2.534967e-09	0.7846218	-2.0042419e-17	0.21592169
7.750380301648492e-11	2.9629485e-10	2.897105e-09	0.7946262	-2.0063365e-17	0.21723753
8.002198843780753e-11	1.0864144e-09	2.6995752e-09	0.80422676	-2.0083254e-17	0.21820994
8.254016666162977e-11	1.9999902e-09	2.2263265e-09	0.8130154	-2.0100974e-17	0.21987687
