# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	1.2674835e-09	7.901196e-10	0.97953576	-2.072577e-17	0.26627177
2.5089591311406683e-12	-6.131657e-10	3.1275565e-10	0.96554726	-2.0650779e-17	0.23722981
5.0385802365583165e-12	-1.4814742e-09	-2.9629483e-09	0.9502209	-2.0464685e-17	0.22758837
7.514510256573528e-12	6.58433e-10	-6.650173e-09	0.9366888	-2.0193148e-17	0.22605665
1.0037727427788158e-11	6.2221917e-09	-1.2139858e-08	0.9257497	-1.9872888e-17	0.22465438
1.2509727067411106e-11	1.6065764e-08	-1.8106906e-08	0.91739345	-1.955431e-17	0.22223106
1.503029903108976e-11	2.9892856e-08	-2.2518408e-08	0.910446	-1.924208e-17	0.22073251
1.7500891130632794e-11	4.71438e-08	-2.6337318e-08	0.9044675	-1.8955633e-17	0.2203325
2.002049509722115e-11	6.663342e-08	-2.9629483e-08	0.898719	-1.8688286e-17	0.22168659
2.2539801109000464e-11	8.6913154e-08	-3.2789963e-08	0.89314085	-1.845149e-17	0.22690208
2.5009515591623582e-11	1.04559156e-07	-3.8847546e-08	0.8879294	-1.8254164e-17	0.23407106
2.752841497022979e-11	1.2128335e-07	-5.030428e-08	0.8831002	-1.8091022e-17	0.24392344
3.004716254460196e-11	1.385343e-07	-7.203257e-08	0.87896436	-1.7964427e-17	0.2548187
3.251636849297442e-11	1.5848481e-07	-1.02978916e-07	0.8756485	-1.7869419e-17	0.26404646
3.503485376204892e-11	1.8208964e-07	-1.4841079e-07	0.8729219	-1.7792758e-17	0.2712618
3.750391548173812e-11	2.1527465e-07	-2.0503603e-07	0.8706609	-1.7727548e-17	0.27699226
4.002233194643435e-11	2.6910155e-07	-2.740398e-07	0.86842406	-1.766294e-17	0.28248763
4.254070459045062e-11	3.604262e-07	-3.3948805e-07	0.86578196	-1.7599464e-17	0.2942192
4.5009717816040144e-11	4.894791e-07	-3.6029454e-07	0.8622586	-1.7553937e-17	0.3309575
4.7528102937947036e-11	6.118159e-07	-2.9089568e-07	0.8573669	-1.7550908e-17	0.38075185
5.0046502532530395e-11	6.490174e-07	-1.4696224e-07	0.8514164	-1.7592522e-17	0.43522862
5.2515548616606794e-11	5.7784075e-07	3.950598e-10	0.8451563	-1.7649242e-17	0.47168362
5.503400107203538e-11	4.2771805e-07	1.0534927e-07	0.83871925	-1.7702482e-17	0.52028215
5.750302435998227e-11	2.523115e-07	1.3715159e-07	0.8325375	-1.7745502e-17	0.54692256
6.002133980883576e-11	9.9727906e-08	1.0515175e-07	0.82651424	-1.7779763e-17	0.5886448
6.253963930974898e-11	-2.6831144e-09	4.3061515e-08	0.82085526	-1.7806027e-17	0.59727454
6.50085727804787e-11	-6.1621094e-08	-1.5407332e-08	0.81569076	-1.7826508e-17	0.6161895
6.75268441690934e-11	-1.02550935e-07	-5.985156e-08	0.81081986	-1.784417e-17	0.62484944
7.004503827203008e-11	-1.4301165e-07	-9.3695014e-08	0.80632186	-1.785988e-17	0.62851864
7.251382945940607e-11	-1.8758756e-07	-1.3274008e-07	0.80223536	-1.7874055e-17	0.64268684
7.503199783787004e-11	-2.3157088e-07	-1.9114309e-07	0.7983711	-1.7887804e-17	0.65101445
7.750078850170221e-11	-2.5935674e-07	-2.7147192e-07	0.7948482	-1.790118e-17	0.66419137
8.001894212625978e-11	-2.643485e-07	-3.7372655e-07	0.79145247	-1.7915488e-17	0.67239046
8.25370994856849e-11	-2.4205642e-07	-4.928371e-07	0.78813773	-1.7931476e-17	0.6507665
8.500587477047707e-11	-1.9353402e-07	-6.294784e-07	0.78482157	-1.795022e-17	0.67881644
8.752402204530435e-11	-1.14336885e-07	-8.0267915e-07	0.7812005	-1.7974868e-17	0.6434234
9.004217043199005e-11	1.1934097e-08	-1.0460525e-06	0.77713263	-1.8009636e-17	0.6345059
9.251093218145001e-11	2.3660377e-07	-1.4188902e-06	0.7724527	-1.806275e-17	0.59193796
9.502908772179965e-11	7.5650655e-07	-2.056603e-06	0.766606	-1.815868e-17	0.5001881
9.75472266847055e-11	2.1713968e-06	-3.0070635e-06	0.7591551	-1.8355685e-17	0.41685027
