# t (s)	mx ()	my ()	mz ()
0	1.4197461e-09	5.2674637e-10	0.97953594
2.021863885460929e-12	1.3539028e-09	1.1851794e-09	0.9745653
4.006205051198708e-12	9.547279e-10	1.6460824e-09	0.9701124
6.035659967672712e-12	3.950598e-10	2.0246813e-09	0.96627825
8.014849436861035e-12	-3.950598e-10	1.0534927e-09	0.9635829
1.0042596457691928e-11	-8.724237e-10	1.2325042e-09	0.9621766
1.2020218874786979e-11	-1.2510226e-09	9.917647e-10	0.96223474
1.4046765346430605e-11	-2.1069855e-09	7.078154e-10	0.96371466
1.6023516554984832e-11	-2.7654186e-09	-6.5843296e-11	0.9663887
1.8049399452325718e-11	-3.0287917e-09	-1.2016401e-09	0.97009456
2.0025654838745395e-11	-2.3703588e-09	-3.358008e-09	0.9741306
2.2001759585605435e-11	-2.6337318e-10	-5.6625233e-09	0.9775744
2.402713481978133e-11	2.9053355e-09	-6.18927e-09	0.97830474
2.600298102764043e-11	5.5966805e-09	-5.0040905e-09	0.9724176
2.8028126927671686e-11	7.637823e-09	-2.8312617e-09	0.95586413
3.000376146506197e-11	8.691315e-09	-5.2674637e-10	0.93047404
3.202865153179138e-11	8.7571586e-09	1.1687186e-09	0.9008306
3.4004051278981756e-11	7.3744495e-09	3.753068e-09	0.87531066
3.60287916063232e-11	5.629602e-09	6.3209566e-09	0.8550776
3.800411081226116e-11	4.115206e-09	7.3744495e-09	0.8399457
4.002872627989762e-11	3.8682937e-09	7.389881e-09	0.8282108
4.2003645826258514e-11	2.757188e-09	7.750991e-09	0.8199471
4.4027935609202494e-11	1.5946423e-09	7.4361775e-09	0.81431544
4.600294176887099e-11	9.2592134e-10	6.716016e-09	0.8111702
4.802737505909997e-11	7.489675e-10	5.3991505e-09	0.80989105
5.000244180755531e-11	3.950598e-10	5.135777e-09	0.8101828
5.202686614667428e-11	-9.876495e-11	4.4444226e-09	0.8117572
5.400187591091103e-11	3.950598e-10	4.4855746e-09	0.814225
5.6026246247858335e-11	9.876495e-11	3.8065657e-09	0.8174135
5.800125598362298e-11	9.876495e-11	3.6872247e-09	0.8209649
6.002563169664653e-11	6.9135464e-10	2.7654186e-09	0.82491475
6.200063350931045e-11	7.7365875e-10	2.633732e-09	0.82894874
6.402502639545086e-11	1.316866e-09	2.897105e-09	0.8331369
6.600002849987222e-11	1.9917596e-09	3.0123308e-09	0.83715636
6.802440386215181e-11	2.1728288e-09	3.6872247e-09	0.84111804
7.004876056686076e-11	2.0740638e-09	3.9835193e-09	0.8448684
7.202372977262041e-11	2.5678886e-09	3.6213814e-09	0.84830576
7.404809479023343e-11	2.5678886e-09	3.9505976e-09	0.8516027
7.602308311866344e-11	2.732497e-09	3.4238514e-09	0.8546082
7.804742458311062e-11	3.1604783e-09	3.555538e-09	0.857486
8.00223997508762e-11	3.0617133e-09	3.9505976e-09	0.860113
8.204675191915712e-11	2.4691236e-09	4.6748743e-09	0.8626417
8.402172379305855e-11	1.679004e-09	4.9053255e-09	0.86497223
8.604606614841384e-11	1.5473175e-09	4.609031e-09	0.86724716
8.802104173840539e-11	1.7283865e-09	4.2798143e-09	0.8693795
9.004538577279035e-11	1.9752988e-09	4.7407176e-09	0.87149906
9.202036269623156e-11	1.777769e-09	5.069934e-09	0.8735219
9.404471084563705e-11	1.5143958e-09	5.9258967e-09	0.875568
9.601968995375325e-11	1.3497876e-09	5.79421e-09	0.877554
9.804403690156887e-11	3.292165e-10	5.530837e-09	0.87959695
1.0001902494060198e-10	4.2798143e-10	5.530837e-09	0.88161385
1.0204337611525236e-10	9.876495e-11	6.2551133e-09	0.883724
1.0401836983716961e-10	-3.2921648e-11	6.5843295e-09	0.88584304
1.0604272008258173e-10	-7.901196e-10	7.1769195e-09	0.88809747
1.0801772104065241e-10	-1.5143958e-09	7.4402924e-09	0.89039946
1.1004210149384596e-10	-2.4032802e-09	7.703666e-09	0.8928892
1.1201709399121205e-10	-3.2592433e-09	7.7695095e-09	0.8954729
1.1404145924258137e-10	-4.2468926e-09	7.7695095e-09	0.8983127
1.1601646773216018e-10	-5.464994e-09	6.913546e-09	0.9013065
1.1804084577296081e-10	-6.9793895e-09	7.1769195e-09	0.90464616
1.2001584738013233e-10	-8.460864e-09	6.5184866e-09	0.90821475
1.2204022504958614e-10	-1.0008181e-08	5.8394773e-09	0.9122399
1.2401524374197375e-10	-1.2115167e-08	5.5966805e-09	0.9165713
1.260396524135833e-10	-1.4419682e-08	3.753068e-09	0.92145973
1.2801465837446903e-10	-1.758016e-08	1.2510226e-09	0.9266676
1.3003905498632017e-10	-2.0082206e-08	-2.5020452e-09	0.9323857
1.320140955355815e-10	-2.2452564e-08	-8.032882e-09	0.9381342
1.340385295401261e-10	-2.4032804e-08	-1.5275646e-08	0.943734
1.3601358592142104e-10	-2.4032804e-08	-2.416449e-08	0.94799954
1.3803802218624044e-10	-2.1267384e-08	-3.476526e-08	0.949358
1.400130856265992e-10	-1.4685113e-08	-4.569525e-08	0.944828
1.4203752105125288e-10	-1.0534927e-09	-5.3069698e-08	0.9305063
1.4401260099355624e-10	1.734971e-08	-5.333307e-08	0.90596247
1.4603706363983598e-10	3.4172672e-08	-4.5958622e-08	0.87545866
1.4801212337783758e-10	4.5431875e-08	-3.8485407e-08	0.847713
1.5003658718945094e-10	5.3069698e-08	-2.4855845e-08	0.8223647
1.5201184024041834e-10	5.451825e-08	-6.4382397e-09	0.8001659
1.5403660276260723e-10	4.9975064e-08	1.1851793e-08	0.78026336
1.5601171179109426e-10	4.1020375e-08	2.5316748e-08	0.7639644
1.5803590016043348e-10	2.8925783e-08	3.318502e-08	0.7506171
1.6001082153110848e-10	1.7892916e-08	3.491341e-08	0.7408265
1.6203521215744832e-10	8.065804e-09	3.2789963e-08	0.7338059
1.640102280738121e-10	-5.5966803e-10	2.8292042e-08	0.72961235
1.6603457800961953e-10	-5.333307e-09	2.278178e-08	0.72778875
1.680095453216049e-10	-7.950578e-09	1.6477285e-08	0.72805715
1.7003390305980445e-10	-7.901195e-09	1.2641913e-08	0.7300192
1.720089134051028e-10	-6.7324772e-09	9.3497485e-09	0.7332986
1.7403331123683577e-10	-6.3044956e-09	7.1769195e-09	0.7378766
1.7600833691955305e-10	-5.99174e-09	5.366229e-09	0.74336714
1.7803275205704746e-10	-6.090505e-09	4.4279616e-09	0.74984777
1.8000780450988179e-10	-5.9588183e-09	2.9629483e-09	0.7568012
1.8203222645670634e-10	-5.0040905e-09	1.5143958e-09	0.7643888
1.8400726475565073e-10	-3.0287917e-09	1.9423774e-09	0.7720935
1.860316874318347e-10	-2.2057505e-09	1.2345618e-09	0.78017324
1.8800671780792182e-10	-1.9423774e-09	9.876494e-10	0.788119
1.9003113583369218e-10	-5.925897e-10	1.4074005e-09	0.7962079
1.920061644084562e-10	3.950598e-10	1.248965e-09	0.8039271
1.9403058147479267e-10	1.316866e-09	1.6995801e-09	0.8115446
1.960056016185374e-10	1.2839443e-09	1.9012252e-09	0.81858754
1.9802999960728658e-10	2.0740638e-09	2.493815e-09	0.82532525
2.0000501163152765e-10	3.4238514e-09	2.2386721e-09	0.83137536
2.0202939793631273e-10	4.2798143e-09	3.8189114e-09	0.83701444
2.0400439700838365e-10	3.917676e-09	4.2633537e-09	0.8419706
2.0602875792686915e-10	3.654303e-09	5.1028555e-09	0.84651977
2.0800375119848597e-10	3.3250864e-09	6.18927e-09	0.8504848
2.1002810907349607e-10	2.3045155e-09	6.4526433e-09	0.85412204
2.1200309502716813e-10	1.2510226e-09	6.716016e-09	0.8573143
2.1402745586465148e-10	1.6460824e-09	6.650173e-09	0.86028236
2.1600242776089557e-10	1.4320917e-09	6.8806245e-09	0.86293644
2.180267928203172e-10	1.2345618e-09	6.18927e-09	0.8654594
2.2000176792487817e-10	1.218101e-09	5.7612883e-09	0.8677699
2.220261009346372e-10	1.4485525e-09	6.1234267e-09	0.8700209
2.2400109774111866e-10	9.0534535e-10	6.9793895e-09	0.87213296
2.2602544475905055e-10	5.925897e-10	7.242763e-09	0.8742393
2.280004124486291e-10	4.938247e-10	7.901195e-09	0.8762604
2.3002477188626087e-10	-6.9135464e-10	8.164569e-09	0.8783192
2.3204913066569825e-10	-1.3497876e-09	8.098725e-09	0.8803858
2.340241207046475e-10	-1.8436124e-09	7.7695095e-09	0.8824287
2.360484703796178e-10	-2.7654186e-09	7.242763e-09	0.88456994
2.380234514770741e-10	-3.5226164e-09	7.3744495e-09	0.886725
2.4004780547277503e-10	-4.0493626e-09	7.637823e-09	0.88902354
2.420227942385916e-10	-4.4444226e-09	7.703666e-09	0.8913768
2.4404715974441325e-10	-4.971169e-09	8.296255e-09	0.8939293
2.4602214939572673e-10	-6.1563483e-09	8.921766e-09	0.8965863
2.480465268815516e-10	-8.493785e-09	8.7242364e-09	0.8995155
2.500215244364105e-10	-1.0139868e-08	7.967039e-09	0.9026125
2.5204589340218907e-10	-1.1884715e-08	7.111076e-09	0.9060764
2.5402090396711106e-10	-1.4287996e-08	6.4526433e-09	0.90978557
2.5604529437150526e-10	-1.6427903e-08	4.8065605e-09	0.91397476
2.580203011879345e-10	-1.8633653e-08	2.6995752e-09	0.9184819
