# t (s)	mx ()	my ()	mz ()
0	1.0699536e-09	3.950598e-10	0.9795359
2.517112261304229e-12	1.2222162e-09	1.5802392e-09	0.97209233
5.044646004882383e-12	4.773639e-10	3.0617133e-09	0.96521044
7.519054213301889e-12	-1.6460824e-09	4.4773443e-09	0.9599334
1.0041978671993692e-11	-5.267464e-09	3.814796e-09	0.95685875
1.2514142219765246e-11	-8.493785e-09	2.0411421e-09	0.9563685
1.5034834857934038e-11	-1.0864144e-08	-2.0411421e-09	0.9582019
1.7505536301558e-11	-1.2115167e-08	-8.098725e-09	0.9616197
2.0025258508478566e-11	-1.0255094e-08	-1.6855884e-08	0.9652039
2.2544681735654465e-11	-2.732497e-09	-2.6337318e-08	0.96513206
2.5014436887369897e-11	1.0469084e-08	-3.1078038e-08	0.95394856
2.7533421462675687e-11	2.6501928e-08	-2.6600691e-08	0.92382294
3.000286205509772e-11	3.5423692e-08	-1.3432032e-08	0.88323075
3.252153675199436e-11	3.4501888e-08	3.8847547e-09	0.84809846
3.5040194215583836e-11	2.99587e-08	1.9349699e-08	0.82049197
3.750950840574136e-11	2.1859975e-08	2.8855824e-08	0.7987745
4.002791832957488e-11	1.1810641e-08	3.2460747e-08	0.7818616
4.254594948484161e-11	2.290112e-09	3.074882e-08	0.7700307
4.501473148058264e-11	-5.6995604e-09	2.4888767e-08	0.76287585
4.75329941869194e-11	-9.506126e-09	1.7810612e-08	0.7593704
5.0001839383452036e-11	-1.0567849e-08	1.2246853e-08	0.75912666
5.252000252201104e-11	-1.0090485e-08	8.691315e-09	0.76145905
5.503817658598959e-11	-8.823002e-09	5.464994e-09	0.7657033
5.750698554630817e-11	-7.1604584e-09	3.358008e-09	0.7713093
6.00251652288041e-11	-5.7283667e-09	2.2222113e-09	0.7781955
6.254338198698471e-11	-4.6748743e-09	1.316866e-09	0.7858947
6.501223218313494e-11	-3.0617133e-09	7.530827e-10	0.7938513
6.753043622721462e-11	-1.4485525e-09	9.711887e-10	0.8020549
7.004864587961866e-11	-2.6337318e-10	7.2427625e-10	0.81008846
7.251747550118312e-11	1.9094557e-09	1.2036978e-09	0.81759393
7.503568052512406e-11	2.8312617e-09	2.716036e-09	0.82469463
7.750449142835327e-11	3.358008e-09	3.9835193e-09	0.8309848
8.002267563786468e-11	3.9505976e-09	4.888865e-09	0.8366503
8.254084902344907e-11	4.2798143e-09	5.6625233e-09	0.84156287
8.500965257565558e-11	3.4238514e-09	6.0246617e-09	0.84570676
8.752781336360063e-11	3.0781742e-09	6.9793895e-09	0.8493375
9.004595218520104e-11	2.7489577e-09	6.716016e-09	0.85246485
9.251469935176021e-11	2.518506e-09	7.2756845e-09	0.8551326
9.503281205593552e-11	1.0534927e-09	7.736587e-09	0.85752857
9.750154258079577e-11	3.6213813e-10	7.473214e-09	0.8596253
1.0001965213718253e-10	-3.6213813e-10	7.4402924e-09	0.8615629
1.0253775907338005e-10	-5.925897e-10	6.7818595e-09	0.86334276
1.0500647862097522e-10	-7.901196e-10	6.5843295e-09	0.86496925
1.0752459290251315e-10	-1.1851794e-09	6.485565e-09	0.8665355
1.1004269944567615e-10	-6.58433e-10	6.5843295e-09	0.86803055
1.1251142594620541e-10	-7.901196e-10	6.913546e-09	0.8694451
1.1502952968113048e-10	-1.9423774e-09	7.1769195e-09	0.870851
1.1754762992516948e-10	-2.3045155e-09	6.7818595e-09	0.8722331
1.2001636342978742e-10	-2.5678886e-09	6.7818595e-09	0.8735766
1.2253447439276712e-10	-2.633732e-09	6.0575833e-09	0.87494636
1.2500320328421223e-10	-2.534967e-09	5.8600533e-09	0.87629926
1.2752130282228296e-10	-1.9752988e-09	5.9258967e-09	0.8776999
1.3003939957526764e-10	-2.633732e-09	6.650173e-09	0.87913275
1.3250812204574715e-10	-3.0617133e-09	5.9258967e-09	0.88058025
1.350262345653724e-10	-3.5884598e-09	6.5184866e-09	0.88211346
1.3754433540890536e-10	-4.213971e-09	6.3868e-09	0.88371867
1.4001306682070797e-10	-5.464994e-09	6.0575833e-09	0.8853788
1.4253117557278254e-10	-5.79421e-09	5.6625233e-09	0.88717973
1.4504927783815326e-10	-6.847703e-09	5.892975e-09	0.88911295
1.4751801628305378e-10	-8.493785e-09	5.135777e-09	0.89116347
1.500361321086433e-10	-8.855923e-09	4.5431876e-09	0.8934468
1.5250486698544722e-10	-1.0567849e-08	4.312736e-09	0.8959123
1.5502298312401854e-10	-1.198348e-08	3.5884598e-09	0.89870673
1.5754111308065207e-10	-1.3695406e-08	2.1728288e-09	0.9018404
1.60009872542372e-10	-1.6394981e-08	4.609031e-10	0.9053041
1.6252801207872823e-10	-1.9259165e-08	-2.9629483e-09	0.90930015
1.6504615957618085e-10	-2.2255035e-08	-6.9793895e-09	0.9138098
1.6751493102008685e-10	-2.4394941e-08	-1.3432032e-08	0.9187127
1.7003309222180753e-10	-2.6370241e-08	-2.278178e-08	0.9240209
1.7250187749002913e-10	-2.6896988e-08	-3.6082128e-08	0.92897093
1.7502005800174104e-10	-2.2255035e-08	-5.247711e-08	0.9323577
1.775382598382602e-10	-1.1259204e-08	-7.0386484e-08	0.9310229
1.800071036452763e-10	8.971149e-09	-8.480617e-08	0.9200955
1.825253212196982e-10	4.1415433e-08	-8.7176524e-08	0.89496547
1.8504355338135486e-10	7.506136e-08	-8.026298e-08	0.8612109
1.8751240383701e-10	1.04559156e-07	-6.47898e-08	0.8277211
1.900307269349179e-10	1.1812288e-07	-2.1267384e-08	0.79391295
1.9254933675818282e-10	1.04822526e-07	2.7522498e-08	0.76194334
1.9501857306062542e-10	7.7769165e-08	6.1728095e-08	0.7343987
1.975365947161895e-10	4.5234344e-08	7.5983166e-08	0.71153384
2.0000526559709093e-10	1.7061645e-08	7.2427625e-08	0.6946609
2.025234021605109e-10	-3.4238514e-09	6.228776e-08	0.6827486
2.0504153880019945e-10	-1.6460824e-08	4.6090307e-08	0.6757972
2.0751027025275902e-10	-2.1695367e-08	3.1868154e-08	0.6730971
2.100284040093617e-10	-2.1645985e-08	2.0938169e-08	0.6736534
2.1254657734419147e-10	-2.0032823e-08	1.2246853e-08	0.6769766
2.1501540097165536e-10	-1.6872345e-08	5.9258967e-09	0.68253744
2.1753360739826086e-10	-1.3432032e-08	2.7654186e-09	0.6901275
2.2000243326048917e-10	-1.1703646e-08	1.3168659e-10	0.699012
2.225206430076867e-10	-1.0164559e-08	-1.1193361e-09	0.709174
2.2503885328235005e-10	-7.1604584e-09	-3.2921648e-09	0.7201679
2.2750768128083037e-10	-5.037012e-09	-3.917676e-09	0.73153454
2.3002588957762837e-10	-3.358008e-09	-2.897105e-09	0.74351645
2.3254407725191685e-10	-1.7448474e-09	-2.1069855e-09	0.75567544
2.3501288278558764e-10	-1.876534e-09	-1.777769e-09	0.7675634
2.375310623436399e-10	-1.0864144e-09	-1.0699536e-09	0.77945304
2.40049252261585e-10	-2.9629485e-10	-1.4485525e-09	0.7909016
2.4251805803843506e-10	1.3827093e-09	-1.1604882e-09	0.80150163
2.450362241143233e-10	2.6008102e-09	-3.292165e-10	0.8114873
2.4750498657636647e-10	3.9505976e-09	1.9752988e-09	0.82031167
2.5002313492544056e-10	3.9505976e-09	4.4773443e-09	0.82822627
2.525412512158907e-10	3.3909298e-09	6.6830945e-09	0.83501905
2.5501000333070434e-10	2.534967e-09	6.3209566e-09	0.84064347
2.5752811285224463e-10	8.230412e-10	5.366229e-09	0.8454398
2.6004620575697396e-10	1.5473175e-09	5.2016205e-09	0.8494357
2.6251493367769354e-10	1.679004e-09	5.892975e-09	0.85272557
2.650330193246626e-10	1.0205711e-09	5.695445e-09	0.85557956
2.6750173336416595e-10	3.292165e-10	6.18927e-09	0.8579986
2.700198293595224e-10	-1.6460824e-11	5.9258967e-09	0.86017185
2.7253791685676523e-10	8.230412e-11	5.530837e-09	0.86212
2.7500665081886257e-10	9.218062e-10	5.99174e-09	0.8638647
2.775247324042768e-10	1.3168659e-10	6.5184866e-09	0.8655174
2.800428083093954e-10	-5.2674637e-10	7.045233e-09	0.8670738
2.8251153225949883e-10	-1.8106907e-09	6.3868e-09	0.86853075
2.8502961597429907e-10	-2.0740638e-09	4.609031e-09	0.86996603
2.8754770752751883e-10	-1.0864144e-09	4.6748743e-09	0.8713663
2.900164266161496e-10	-3.2921648e-11	5.530837e-09	0.8727188
2.9253452587299837e-10	-1.1522577e-09	6.1234267e-09	0.8740898
2.950032384309941e-10	-1.5143958e-09	6.5843295e-09	0.8754365
2.9752133663504084e-10	-2.3703588e-09	5.79421e-09	0.8768236
3.000394240825254e-10	-3.1934e-09	5.530837e-09	0.8782355
3.0250816654545175e-10	-2.99587e-09	5.2016205e-09	0.879655
3.0502627113367007e-10	-2.99587e-09	4.7407176e-09	0.8811512
3.0754436314130113e-10	-2.9629483e-09	4.6748743e-09	0.8827098
3.1001310251979894e-10	-3.3909298e-09	4.411501e-09	0.88431364
3.1253120753006875e-10	-4.0822843e-09	5.234542e-09	0.88604456
3.150493118663028e-10	-4.839482e-09	5.333307e-09	0.8878925
3.1751804615376546e-10	-5.7283667e-09	5.3991505e-09	0.8898419
3.2003615351787954e-10	-7.341528e-09	5.069934e-09	0.89200073
3.225049061239616e-10	-8.395021e-09	3.753068e-09	0.89431846
3.2502302336480694e-10	-1.0106946e-08	3.4238514e-09	0.8969312
3.2754115787225286e-10	-1.0567849e-08	2.2057505e-09	0.8998464
3.30009891674373e-10	-1.2115167e-08	1.975299e-10	0.90305644
3.3252803233617555e-10	-1.2905287e-08	-2.1069855e-09	0.9067544
3.3504617250225237e-10	-1.5308567e-08	-5.267464e-09	0.910941
3.375149431060975e-10	-1.659251e-08	-9.481435e-09	0.91554874
3.4003309013074233e-10	-1.777769e-08	-1.5670704e-08	0.92069894
3.4250188301814787e-10	-1.7086336e-08	-2.396696e-08	0.92590517
3.4502006102119326e-10	-1.36624845e-08	-3.456773e-08	0.9305643
3.475382489380885e-10	-6.0575833e-09	-4.674874e-08	0.93264633
3.500070785433279e-10	5.464994e-09	-5.8073788e-08	0.9284443
3.5252529318350367e-10	2.6592462e-08	-6.47898e-08	0.91226685
3.550435272101659e-10	5.3036775e-08	-5.8732223e-08	0.88259065
3.575123740656835e-10	7.703666e-08	-5.0699338e-08	0.8489431
3.6003061412568105e-10	9.468266e-08	-2.7654185e-08	0.8148784
3.6254903323607146e-10	9.18514e-08	1.1506116e-08	0.78150797
3.6501835632225964e-10	7.176919e-08	4.576109e-08	0.7513645
3.675367301103586e-10	4.4575913e-08	6.332479e-08	0.7251014
3.7000531116826594e-10	1.8008143e-08	6.5547e-08	0.7047495
3.725233970678143e-10	-2.6008102e-09	5.675692e-08	0.68955725
3.750415396841211e-10	-1.458429e-08	4.2403084e-08	0.67956924
3.7751026315224686e-10	-1.955546e-08	2.9102738e-08	0.67438877
3.8002837142821207e-10	-1.9868216e-08	1.8436124e-08	0.67295283
3.825465115469317e-10	-1.8090446e-08	1.1325047e-08	0.6746048
3.850153046367926e-10	-1.5621323e-08	5.79421e-09	0.67876273
3.8753350116065174e-10	-1.2740678e-08	2.2386721e-09	0.6851998
3.900023303958431e-10	-9.761269e-09	2.6337318e-10	0.69322604
3.925205478296259e-10	-7.604901e-09	-1.5802392e-09	0.7027338
3.950387330415728e-10	-6.3044956e-09	-2.1069855e-09	0.71323866
3.975075652503276e-10	-4.2468926e-09	-3.555538e-09	0.72426003
4.0002576744443236e-10	-1.958838e-09	-3.4238514e-09	0.7360224
4.025439557410903e-10	-5.2674637e-10	-2.897105e-09	0.7480965
4.0501274839110013e-10	-8.888845e-10	-1.8436124e-09	0.7600286
4.075309344798344e-10	6.9135464e-10	-1.6460824e-09	0.77208996
4.1004911479205065e-10	1.9094557e-09	-4.609031e-10	0.7838369
4.125179067534387e-10	1.7448474e-09	8.230412e-11	0.79485196
