# t (s)	mx ()	my ()	mz ()	E_total (J)	MaxAngle (rad)
0	1.1152208e-09	4.2798143e-10	0.97954816	-2.0725796e-17	0.26632476
2.5238035341259842e-12	-7.925887e-09	-8.844401e-08	0.9758755	-2.0712343e-17	0.2520999
5.001244315079026e-12	5.8600534e-08	-1.6164529e-07	0.97316	-2.0690262e-17	0.24438453
7.523927424739047e-12	1.8182627e-07	-1.7804028e-07	0.97144	-2.0661865e-17	0.24023135
1.0045583021343403e-11	3.1288735e-07	-1.12295744e-07	0.97102094	-2.0630685e-17	0.23914997
1.2517122204891282e-11	3.8630262e-07	2.1497836e-08	0.9719901	-2.0600434e-17	0.24136731
1.5037481509213293e-11	3.67241e-07	1.8100323e-07	0.9743145	-2.0572347e-17	0.24369876
1.7507960115632313e-11	2.5619627e-07	3.137433e-07	0.9776864	-2.0549176e-17	0.25210637
2.002748699141586e-11	7.111076e-08	3.797183e-07	0.98189676	-2.0531389e-17	0.27097693
2.2546744280580016e-11	-1.4235322e-07	3.3418766e-07	0.98639745	-2.0521046e-17	0.3343536
2.5016409290997583e-11	-2.9833598e-07	1.5881403e-07	0.99039644	-2.0520253e-17	0.64297384
2.7505996027243303e-11	-4.8223217e-07	1.5802391e-07	0.99305797	-2.0862607e-17	0.11483516
3.002006328822597e-11	-3.5087893e-07	-3.110108e-07	0.9935109	-2.0951256e-17	0.0888051
3.254385571009922e-11	-4.872404e-08	-4.6189072e-07	0.9936216	-2.0967482e-17	0.08880174
3.5015854912866924e-11	3.3443456e-07	-4.952074e-07	0.99370337	-2.0975476e-17	0.08880308
3.7534677261946804e-11	7.3866715e-07	-7.440293e-08	0.9937987	-2.0981276e-17	0.08880241
4.00019015774025e-11	5.3721135e-07	6.4157706e-07	0.99389935	-2.0986575e-17	0.08880443
4.251898032436639e-11	-3.3686254e-07	8.300206e-07	0.9939838	-2.0991447e-17	0.08879435
4.5037201294370904e-11	-9.4534516e-07	7.2625156e-08	0.99404585	-2.0995207e-17	0.088820554
4.7505910869939534e-11	-5.4775865e-07	-8.290988e-07	0.9940973	-2.0997859e-17	0.0887977
5.002249665861209e-11	4.731417e-07	-9.047198e-07	0.99412435	-2.0999811e-17	0.08881316
5.2538340409498856e-11	1.0309167e-06	-1.8831184e-08	0.9941623	-2.1001414e-17	0.08882593
5.500553602584047e-11	5.204337e-07	9.007363e-07	0.9942004	-2.100276e-17	0.08881249
5.7522911908919776e-11	-5.696433e-07	8.942178e-07	0.99420756	-2.1003864e-17	0.08879838
6.004023115548659e-11	-1.0826964e-06	-8.50037e-08	0.9942068	-2.100471e-17	0.08881854
6.250749465088893e-11	-4.6765203e-07	-1.002925e-06	0.9942336	-2.1005332e-17	0.088829294
6.502371692949876e-11	6.774452e-07	-8.9718077e-07	0.99426377	-2.1005833e-17	0.08881653
6.754028787258234e-11	1.1283524e-06	1.9028712e-07	0.99426347	-2.100624e-17	0.08880107
7.000798444596321e-11	3.8135616e-07	1.1061674e-06	0.9942482	-2.1006554e-17	0.08880913
7.252501122239885e-11	-8.2178195e-07	8.7255535e-07	0.9942477	-2.10068e-17	0.08880712
7.504165639158914e-11	-1.1800354e-06	-3.2562804e-07	0.994268	-2.1006988e-17	0.088820554
7.750873100054656e-11	-2.910891e-07	-1.2132286e-06	0.9942846	-2.1007133e-17	0.08881115
8.002535737931814e-11	9.609171e-07	-8.3588066e-07	0.99428046	-2.1007248e-17	0.08880241
8.254223795285043e-11	1.2127018e-06	4.776273e-07	0.9942671	-2.1007337e-17	0.08880712
8.500977789550898e-11	1.716864e-07	1.3223968e-06	0.99426436	-2.100741e-17	0.08880443
