# t (s)	mx ()	my ()	mz ()
0	0.0002590181	0.005496871	-0.00026228256
1.024730138049699e-12	0.00024691114	0.0054965517	-0.00028909103
2.0183952456261553e-12	0.00013489513	0.00552094	-0.00029643247
3.0020475183610847e-12	0.00011642582	0.0056458106	-0.00031388347
4.0168529749035465e-12	6.289342e-05	0.0056864317	-0.0003857019
5.018053280111557e-12	-1.3879314e-05	0.005727387	-0.0003342575
6.007120072626675e-12	-4.4509525e-05	0.0058063967	-0.0003632516
7.014525310108095e-12	-4.441162e-05	0.006018002	-0.00050037523
8.01194898387864e-12	-0.00024032682	0.0062413597	-0.00069672277
9.005947737245253e-12	-0.00023242694	0.0063282126	-0.000978265
1.0010392181115872e-11	-0.00020733364	0.0063781366	-0.0010317868
1.1027551991871009e-11	-7.6031894e-05	0.006423472	-0.001128615
1.2023184213887163e-11	1.3391114e-05	0.00653316	-0.0011603091
1.3004961270220398e-11	9.492431e-05	0.0067846095	-0.0011387729
1.4027178458513621e-11	0.00018369139	0.0070950473	-0.0014220135
1.5021954929845983e-11	-4.7978015e-06	0.00731308	-0.001663036
1.6022343405798667e-11	-0.00038039108	0.0071743713	-0.002159149
1.7003141084340385e-11	-0.00080858916	0.007173161	-0.0026519906
1.8027782615491992e-11	-0.0011833651	0.0072216503	-0.0030344066
1.9013065979004944e-11	-0.001529293	0.007308522	-0.003454327
2.0015248721654703e-11	-0.001725469	0.007100972	-0.0038170717
2.100903635788635e-11	-0.0017928295	0.006876138	-0.004214638
2.20043045857245e-11	-0.0018102225	0.0066024126	-0.0045493967
2.301254006898707e-11	-0.0017652872	0.0061911102	-0.0049175494
2.4000733245577834e-11	-0.0019224982	0.005823981	-0.0054910686
2.50130046803987e-11	-0.0021180024	0.005659947	-0.006340398
2.6026888924694702e-11	-0.0020295612	0.0055753803	-0.0072746975
2.700797579413263e-11	-0.0019919348	0.005524944	-0.0080733355
2.8000054056204915e-11	-0.0021164254	0.005416323	-0.008709902
2.9010410366954053e-11	-0.0023488053	0.0051415563	-0.009259315
