# t (s)	mx ()	my ()	mz ()
0	1.1687186e-09	2.4691235e-10	0.97953594
1.020859528993731e-12	4.026729e-09	1.2839443e-09	0.9769794
2.0218151924015565e-12	6.5596386e-09	3.8189114e-09	0.9745654
3.013880234954475e-12	8.271564e-09	7.3744495e-09	0.97227263
4.005848287650892e-12	8.9546885e-09	1.14485035e-08	0.9701131
5.0461667827292615e-12	8.238643e-09	1.5950539e-08	0.96803457
6.035307893820972e-12	6.3374173e-09	2.0938169e-08	0.9662788
7.025412262271979e-12	2.9629483e-09	2.6238554e-08	0.964781
8.014645992301285e-12	-2.99587e-09	3.0814665e-08	0.96358305
9.004044315657524e-12	-9.942338e-09	3.4732338e-08	0.96271414
1.0042589028431204e-11	-1.8827068e-08	3.6905167e-08	0.96217656
1.1031520933469232e-11	-2.814801e-08	3.7267306e-08	0.962029
1.2020316908971276e-11	-3.7859895e-08	3.5292008e-08	0.96223474
1.3008970888629395e-11	-4.7077958e-08	3.1999843e-08	0.9627845
1.4046935029683572e-11	-5.6230174e-08	2.617271e-08	0.96371484
1.5035340791011848e-11	-6.449351e-08	1.837028e-08	0.964914
1.6023686099391862e-11	-7.117661e-08	8.230412e-09	0.9663888
1.701191303801241e-11	-7.637823e-08	-4.213971e-09	0.9681003
1.8000114453821557e-11	-7.95387e-08	-1.8897026e-08	0.9699962
1.9037646472874067e-11	-7.973623e-08	-3.6477186e-08	0.97210777
2.0025708878864484e-11	-7.677328e-08	-5.4682857e-08	0.9741307
2.1013741405163722e-11	-6.966221e-08	-7.486383e-08	0.97602135
2.2001724736758125e-11	-5.754704e-08	-9.474851e-08	0.9775742
2.3039090120942624e-11	-3.911092e-08	-1.149624e-07	0.978513
2.4027008429964577e-11	-1.5604861e-08	-1.3076479e-07	0.97830486
2.5014923279293457e-11	1.28723645e-08	-1.4222152e-07	0.97646487
2.6002794684327207e-11	4.4345462e-08	-1.4590874e-07	0.97241867
2.7040054837754827e-11	7.769509e-08	-1.3965364e-07	0.9653491
2.8027872253148835e-11	1.0557973e-07	-1.2503642e-07	0.95586693
2.901569967855052e-11	1.2740678e-07	-1.0653446e-07	0.94403666
3.000347539439027e-11	1.4343962e-07	-8.823002e-08	0.9304782
3.104064558567428e-11	1.5673997e-07	-7.124245e-08	0.9152653
3.202838137575357e-11	1.6513499e-07	-5.10944e-08	0.90083456
3.3016106766969807e-11	1.6434487e-07	-2.278178e-08	0.88735473
3.400383145956966e-11	1.5433669e-07	1.4748899e-08	0.87531316
3.504094324892044e-11	1.3738205e-07	5.7020294e-08	0.86426294
3.602864688593569e-11	1.1996649e-07	9.2312305e-08	0.85507876
3.70163657897773e-11	1.02978916e-07	1.2022986e-07	0.8470165
3.800404719153522e-11	8.8723844e-08	1.4090466e-07	0.839946
3.90410552565354e-11	7.545642e-08	1.5516795e-07	0.8334947
4.002857341033398e-11	6.365401e-08	1.6289631e-07	0.8282114
4.101604235092025e-11	5.2394803e-08	1.6702798e-07	0.8237128
4.200347782689522e-11	4.0444245e-08	1.6750535e-07	0.8199476
4.304031991146188e-11	2.7172705e-08	1.6521729e-07	0.81672996
4.402781023326458e-11	1.4300341e-08	1.597667e-07	0.81431556
4.501528913425545e-11	1.3230388e-09	1.5351468e-07	0.81248146
4.600282326148609e-11	-1.1693358e-08	1.4514744e-07	0.81117016
4.703972729774757e-11	-2.3927866e-08	1.3513102e-07	0.8102955
